"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Substrate","2018-07-28","Ponds Lake",NA,NA,"Inhibitory",0.00137469644646929,0.0018923473086077,0.00221402295526525,0.00260271463605523,0.00353311715720197
"Substrate","2018-07-28","Ponds Lake",NA,NA,"NonInhibitory",0.000445456309377772,0.000606610534863534,0.000721249214602926,0.000860985213239221,0.00116581094387805
"Substrate","2018-07-28","Ponds Lake",NA,NA,"Uncertain",0.995585701332063,0.99661012311657,0.997052195278665,0.997415414960813,0.998000724849842
"Substrate","2018-08-04","Gibson Lakes",NA,NA,"Inhibitory",0.00585888652835862,0.00859803183079381,0.0101275080858172,0.0118483914422555,0.0158285313747043
"Substrate","2018-08-04","Gibson Lakes",NA,NA,"NonInhibitory",0.000384129432668972,0.000545627314396284,0.000663228189699027,0.000793403875026071,0.00112235148120264
"Substrate","2018-08-04","Gibson Lakes",NA,NA,"Uncertain",0.983410748623982,0.987460311966906,0.989166643017198,0.990744733012357,0.993576545512652
"Substrate","2018-08-11","Ponds Lake",NA,NA,"Inhibitory",0.00134413043484734,0.00182194814072497,0.00212551238952384,0.00249750864947967,0.00340952702026884
"Substrate","2018-08-11","Ponds Lake",NA,NA,"NonInhibitory",0.000469478050675909,0.000624902111366117,0.000736020969327779,0.000869705046224809,0.00118388020354743
"Substrate","2018-08-11","Ponds Lake",NA,NA,"Uncertain",0.995673649426475,0.996688915411142,0.997120729240629,0.997487359078263,0.998040800023911
"Substrate","2018-08-18","Gibson Lakes",NA,NA,"Inhibitory",0.00416295901995848,0.00611821216573425,0.00729091865903713,0.00855588073748713,0.0114581760734283
"Substrate","2018-08-18","Gibson Lakes",NA,NA,"NonInhibitory",0.000361700897556546,0.000510646369298335,0.000617374813740699,0.000743690078248221,0.00104937439539704
"Substrate","2018-08-18","Gibson Lakes",NA,NA,"Uncertain",0.987897392489682,0.990772053317108,0.992081387127941,0.993206608991947,0.995320762558996
"Substrate","2018-08-25","Ponds Lake",NA,NA,"Inhibitory",0.00134511836470296,0.00185218651229382,0.00217746951487051,0.00256028676385647,0.00352009346890883
"Substrate","2018-08-25","Ponds Lake",NA,NA,"NonInhibitory",0.000463075578399728,0.000624895075429766,0.000735854734333657,0.000875996609541914,0.00120025925364252
"Substrate","2018-08-25","Ponds Lake",NA,NA,"Uncertain",0.995549090399827,0.996625747206649,0.997079654474466,0.997450821670562,0.998039670720247
"Substrate","2018-09-01","Gibson Lakes",NA,NA,"Inhibitory",0.00267808691811682,0.00406139243495933,0.00488396309010102,0.00582195072630125,0.00775841630031715
"Substrate","2018-09-01","Gibson Lakes",NA,NA,"NonInhibitory",0.000342578915992614,0.000489491027120371,0.000593660545954499,0.000716202063408762,0.00101746196051102
"Substrate","2018-09-01","Gibson Lakes",NA,NA,"Uncertain",0.991572182543203,0.993561078167294,0.994480325757857,0.995326311963202,0.996781024834156
"Substrate","2018-09-08","Ponds Lake",NA,NA,"Inhibitory",0.00141516021954758,0.00199012737592398,0.00236410578891772,0.00279958368502758,0.0040035114517116
"Substrate","2018-09-08","Ponds Lake",NA,NA,"NonInhibitory",0.000419766639174248,0.000604973837796926,0.000726301811031884,0.000879118890290648,0.00120569127711092
"Substrate","2018-09-08","Ponds Lake",NA,NA,"Uncertain",0.995075801049115,0.996383133834666,0.99689269938153,0.997314288191083,0.997973275531691
"Substrate","2018-09-15","Gibson Lakes",NA,NA,"Inhibitory",0.00159351621513916,0.00249543272739048,0.00307688621822388,0.00371548299262742,0.0052156729548964
"Substrate","2018-09-15","Gibson Lakes",NA,NA,"NonInhibitory",0.000312361104486388,0.000475323898024707,0.000580234494154622,0.000716205731540877,0.00104408369417359
"Substrate","2018-09-15","Gibson Lakes",NA,NA,"Uncertain",0.99406569647799,0.995633057357532,0.996312592845489,0.996932636818278,0.9978767416589
"Substrate","2018-09-22","Ponds Lake",NA,NA,"Inhibitory",0.00151275802176639,0.00225593037477194,0.0027368089539356,0.00331754135376045,0.0049648812396211
"Substrate","2018-09-22","Ponds Lake",NA,NA,"NonInhibitory",0.000348752733051603,0.000559729868274832,0.000698238343225649,0.000894117001497,0.00130389552857711
"Substrate","2018-09-22","Ponds Lake",NA,NA,"Uncertain",0.994080331002967,0.995896538227273,0.996524710431906,0.997065464010676,0.997887117494187
