"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Water","2018-08-18","Gibson Lakes",NA,NA,"NonInhibitory",0.0163765746623197,0.0203001700144934,0.0225242591615327,0.0249967082727939,0.0308661540925189
"Water","2018-08-18","Gibson Lakes",NA,NA,"Inhibitory",0.0135778323977089,0.0152862516703117,0.0163302866806781,0.0173569263844243,0.0196240594212599
"Water","2018-08-18","Gibson Lakes",NA,NA,"Other",0.384720138460366,0.4067934963478,0.419058338072565,0.434285779829503,0.485655347519531
"Water","2018-08-25","Ponds Lake",NA,NA,"Uncertain",0.428520902097478,0.440794572585962,0.448288591302178,0.455477017748231,0.469818056742505
"Water","2018-08-25","Ponds Lake",NA,NA,"NonInhibitory",0.00691135954574132,0.00789290782396695,0.00842863931505673,0.00908164302457046,0.0104179554391811
"Water","2018-08-25","Ponds Lake",NA,NA,"Inhibitory",0.0137667196890981,0.0151560107779834,0.0159224151659235,0.0167251996709902,0.018332770901597
"Water","2018-08-25","Ponds Lake",NA,NA,"Other",0.506023187774612,0.519716310853291,0.527423299131428,0.534947102435632,0.547566606477693
"Water","2018-09-01","Gibson Lakes",NA,NA,"Uncertain",0.430064610918476,0.488879385599262,0.50584098616183,0.518886238206218,0.540711957134447
"Water","2018-09-01","Gibson Lakes",NA,NA,"NonInhibitory",0.0230913734380552,0.0290874217857441,0.032331862336773,0.0357709047760511,0.0438083873316291
"Water","2018-09-01","Gibson Lakes",NA,NA,"Inhibitory",0.0133895412418594,0.0150609508591238,0.0159703634439457,0.0170128423510824,0.0191335308089451
"Water","2018-09-01","Gibson Lakes",NA,NA,"Other",0.411405930601623,0.433649973952059,0.446034708437356,0.461753842514692,0.515452636687772
"Water","2018-09-08","Ponds Lake",NA,NA,"Uncertain",0.431210767075065,0.446449746564868,0.454262583316201,0.462318517078914,0.478032750832879
"Water","2018-09-08","Ponds Lake",NA,NA,"NonInhibitory",0.0065271960615626,0.00767105512817037,0.00833107225068519,0.00904871370194453,0.0105591477544595
"Water","2018-09-08","Ponds Lake",NA,NA,"Inhibitory",0.0136605121085279,0.015327651205889,0.0161400082714027,0.0170782933529031,0.0189820904906429
"Water","2018-09-08","Ponds Lake",NA,NA,"Other",0.497029220698172,0.51294916244675,0.521131443271605,0.52920450581779,0.543884794211544
"Water","2018-09-15","Gibson Lakes",NA,NA,"Uncertain",0.376476929845192,0.432094857490244,0.449679107211579,0.463788267858866,0.486919322887042
"Water","2018-09-15","Gibson Lakes",NA,NA,"NonInhibitory",0.0382625679773824,0.0485938736622373,0.0536903985679733,0.0593239346198004,0.0715609104389854
"Water","2018-09-15","Gibson Lakes",NA,NA,"Inhibitory",0.0127731643346837,0.0147601628394776,0.015742888238966,0.0167646147713922,0.018837772150616
"Water","2018-09-15","Gibson Lakes",NA,NA,"Other",0.444077368271843,0.468114422295343,0.48093468618556,0.49725612989336,0.546598286734244
"Water","2018-09-22","Ponds Lake",NA,NA,"Uncertain",0.445280947762355,0.465704794343628,0.477014656338438,0.488224712232426,0.509380043113179
"Water","2018-09-22","Ponds Lake",NA,NA,"NonInhibitory",0.00574258773910871,0.00723997824170203,0.00809293903088666,0.00907092957401625,0.0111454016400908
"Water","2018-09-22","Ponds Lake",NA,NA,"Inhibitory",0.0131276603654645,0.0152358017291722,0.016334756225516,0.017711270976788,0.0203859499372362
